a3,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla
0.0,0,1,2,8.0,9.8,60.8,6.2379999999999995,578.0,105.0,170.0,50.0
4.8,1,1,2,8.35,8.0,57.75,1288,370.0,428.75,558.75,1.3
1.9,2,1,2,8.1,11.4,40.02,5.33,346.66699,125667,187.05701000000002,15.6
18.9,1,1,2,8.07,4.8,77.36399999999999,2302,98182,61.181999999999995,138.7,1.4
7.5,2,1,2,8.06,9.0,55.35,10.415999999999999,233.7,58222,97.58,10.5
1.4,0,1,3,8.25,13.1,65.75,9248,430.0,18.25,56667,28.4
3.2,3,1,3,8.15,10.3,73.25,1535,110.0,61.25,111.75,3.2
0.0,2,1,3,8.05,10.6,59067,4.99,205.66701,44667,77434,6.9
2.5,0,1,2,8.7,3.4,21.95,0.8859999999999999,102.75,36.3,71.0,5544
0.0,0,1,3,7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8
0.0,1,1,3,7.7,10.2,8.0,1527,21.570999999999998,12.75,20.75,0.8
0.0,3,1,3,7.45,11.7,8.69,1588,18.429000000000002,10667,19.0,0.6
2.1,0,1,3,7.74,9.6,5.0,1.2229999999999999,27.285999999999998,12.0,17.0,41.0
3.4,3,1,3,7.72,11.8,6.3,1.47,8.0,16.0,15.0,0.5
7.8,0,1,3,7.9,9.6,3.0,1.4480000000000002,46.2,13.0,61.6,0.3
1.7,2,1,3,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
0.0,0,1,3,7.78,12.0,7.0,1.42,34333,18667,50.0,1.1
3.1,1,1,3,7.61,9.8,7.0,1443,31.333000000000002,20.0,57833,0.4
9.9,3,1,3,7.35,10.4,7.0,1.7180000000000002,49.0,41.5,61.5,0.8
0.0,1,1,2,7.79,3.2,64.0,2822,8777.59961,564.59998,771.59998,4.5
0.0,0,1,2,7.83,10.7,88.0,4825,1729.0,467.5,586.0,16.0
0.0,1,1,3,7.2,9.2,0.8,642,81.0,15.6,18.0,0.5
0.0,2,1,3,7.75,10.3,32.92,2.9419999999999997,42.0,16.0,40.0,7.6
0.0,0,1,3,7.62,8.5,11867,1715,208.33299,3.0,27.5,1.7
