Unnamed: 0,a4,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla
0,1,0.0,0,1,2,8.0,9.8,60.8,6.2379999999999995,578.0,105.0,170.0,50.0
1,2,1.9,1,1,2,8.35,8.0,57.75,1.288,370.0,428.75,558.75,1.3
2,3,0.0,2,1,2,8.1,11.4,40.02,5.33,346.66699,125.667,187.05701000000002,15.6
3,4,0.0,1,1,2,8.07,4.8,77.36399999999999,2.302,98.182,61.181999999999995,138.7,1.4
4,5,0.0,2,1,2,8.06,9.0,55.35,10.415999999999999,233.7,58.222,97.58,10.5
5,6,0.0,0,1,3,8.25,13.1,65.75,9.248,430.0,18.25,56.667,28.4
6,7,3.9,3,1,3,8.15,10.3,73.25,1.535,110.0,61.25,111.75,3.2
7,8,0.0,2,1,3,8.05,10.6,59.067,4.99,205.66701,44.667,77.434,6.9
8,9,0.0,0,1,2,8.7,3.4,21.95,0.8859999999999999,102.75,36.3,71.0,5.544
9,10,2.9,0,1,3,7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8
10,11,0.0,1,1,3,7.7,10.2,8.0,1.527,21.570999999999998,12.75,20.75,0.8
11,12,0.0,3,1,3,7.45,11.7,8.69,1.588,18.429000000000002,10.667,19.0,0.6
12,13,0.0,0,1,3,7.74,9.6,5.0,1.2229999999999999,27.285999999999998,12.0,17.0,41.0
13,14,0.0,3,1,3,7.72,11.8,6.3,1.47,8.0,16.0,15.0,0.5
14,15,0.0,0,1,3,7.9,9.6,3.0,1.4480000000000002,46.2,13.0,61.6,0.3
15,16,0.0,2,1,3,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
16,17,1.2,0,1,3,7.78,12.0,7.0,1.42,34.333,18.667,50.0,1.1
17,18,4.8,1,1,3,7.61,9.8,7.0,1.443,31.333000000000002,20.0,57.833,0.4
18,19,4.3,3,1,3,7.35,10.4,7.0,1.7180000000000002,49.0,41.5,61.5,0.8
19,20,44.6,1,1,2,7.79,3.2,64.0,2.822,8777.59961,564.59998,771.59998,4.5
20,21,6.8,0,1,2,7.83,10.7,88.0,4.825,1729.0,467.5,586.0,16.0
21,22,2.3,1,1,3,7.2,9.2,0.8,0.642,81.0,15.6,18.0,0.5
22,23,0.0,2,1,3,7.75,10.3,32.92,2.9419999999999997,42.0,16.0,40.0,7.6
23,24,3.7,0,1,3,7.62,8.5,11.867,1.715,208.33299,3.0,27.5,1.7
24,25,3.5,1,1,3,7.84,9.4,10.975,1.51,12.5,3.0,11.5,1.5
25,26,0.0,3,1,3,7.77,10.7,12.536,3.9760000000000004,58.5,9.0,44.136,3.0
26,27,4.9,0,1,3,7.09,8.4,10.5,1.5719999999999998,28.0,4.0,13.6,0.5
27,28,0.0,2,1,3,6.8,11.1,9.0,0.63,20.0,4.0,15.3573268472903,2.7
28,29,0.0,0,1,3,8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8
29,30,0.0,1,1,3,7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5
30,31,0.0,2,1,3,7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9
31,32,0.0,0,1,3,8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8
