Rings,Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight
15,0,455,365,95,514,0.2245,101,0.15
7,0,0.35,265,0.09,0.2255,0.0995,0.0485,0.07
9,1,0.53,0.42,135,677,0.2565,0.1415,0.21
10,0,0.44,365,125,516,0.2155,114,155
7,2,0.33,255,0.08,205,0.0895,0.0395,55
8,2,425,0.3,95,0.3515,141,0.0775,0.12
20,1,0.53,415,0.15,0.7775,237,0.1415,0.33
16,1,545,425,125,768,294,0.1495,0.26
9,0,475,0.37,125,0.5095,0.2165,0.1125,165
19,1,0.55,0.44,0.15,0.8945,0.3145,151,0.32
14,1,525,0.38,0.14,0.6065,194,0.1475,0.21
10,0,0.43,0.35,0.11,406,0.1675,81,135
11,0,0.49,0.38,135,0.5415,0.2175,95,0.19
10,1,535,405,145,0.6845,0.2725,171,205
10,1,0.47,355,0.1,0.4755,0.1675,0.0805,185
12,0,0.5,0.4,0.13,0.6645,258,133,0.24
7,2,355,0.28,85,0.2905,95,0.0395,115
10,1,0.44,0.34,0.1,451,188,87,0.13
7,0,365,295,0.08,0.2555,97,43,0.1
9,0,0.45,0.32,0.1,381,0.1705,75,115
11,0,355,0.28,95,0.2455,0.0955,62,75
10,2,0.38,275,0.1,0.2255,0.08,49,85
12,1,565,0.44,155,0.9395,0.4275,214,0.27
9,1,0.55,415,135,0.7635,318,0.21,0.2
10,1,615,0.48,165,1.1615,513,301,305
11,1,0.56,0.44,0.14,0.9285,0.3825,188,0.3
11,1,0.58,0.45,185,0.9955,0.3945,272,285
12,0,0.59,445,0.14,931,356,234,0.28
15,0,605,475,0.18,0.9365,394,219,295
11,0,575,425,0.14,0.8635,393,227,0.2
10,0,0.58,0.47,165,0.9975,0.3935,242,0.33
15,1,0.68,0.56,165,1639,0.6055,0.2805,0.46
18,0,665,525,165,1338,0.5515,0.3575,0.35
19,1,0.68,0.55,175,1798,815,0.3925,455
13,1,705,0.55,0.2,1.7095,633,0.4115,0.49
8,0,465,355,105,0.4795,227,124,125
16,1,0.54,475,155,1217,0.5305,0.3075,0.34
8,1,0.45,355,105,0.5225,237,0.1165,145
11,1,575,445,135,883,381,0.2035,0.26
9,0,355,0.29,0.09,0.3275,134,86,0.09
9,1,0.45,335,105,425,0.1865,91,115
14,1,0.55,425,135,0.8515,362,196,0.27
5,2,0.24,175,45,0.07,0.0315,0.0235,0.02
5,2,205,0.15,55,42,0.0255,15,12
