"target","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14"
3.9,2,7,5707,390,9,3.9,9999,9999,9999,320,1.42,70.1,43.3,2.788
4,3,7,5707,390,9,4.2,9999,9999,9999,335,1.9,70.1,43.3,2.788
4,3,7,5707,390,9,4.2,9999,9999,9999,335,1.9,70.1,43.3,2.788
4.2,3,7,3600,309,9,5,9999,9999,9999,305,9999,9999,9999,2583
4.3,2,7,5474,357,9,4.7,9999,2.3,3.5,317,1.14,49.2,41,2.959
4.5,2,7,3586,294,9,4.7,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.5,2,7,3586,294,9,4.7,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.6,2,7,5341,410,9,4.9,9999,9999,9999,300,667,51.6,69.2,1885
4.7,2,7,4941,294,9,5.5,772,9999,9999,250,855,33,44.3,2799
4.7,2,7,3495,280,9,4.8,9999,9999,9999,295,871,67.3,41.1,2983
4.7,2,7,3495,280,9,4.8,9999,9999,9999,295,871,67.3,41.1,2983
4.7,2,7,3495,280,9,4.8,9999,9999,9999,295,871,67.3,41.1,2983
4.8,2,7,3600,265,9,5.1,0.582,9999,9999,302,1.39,43.9,40.4,2859
4.8,2,7,3586,294,9,4.8,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.8,2,7,3586,294,9,4.8,9999,9999,9999,295,1.1,38.7,31.6,3.774
4.8,2,7,2174,225,9,5.4,9999,9999,9999,261,1.92,40.1,37.4,3.189
4.8,2,7,3506,260,9,5.3,9999,9999,9999,282,1.61,39.1,40.9,2.9
4.9,3,7,3600,309,9,5.1,9999,9999,9999,298,9999,9999,9999,2399
4.9,2,7,2174,224,9,6,9999,9999,9999,260,1.77,37.7,37.7,3.189
4.9,2,7,4997,227,9,4.8,9999,9999,9999,271,1.6,45.2,48.7,2416
4.9,2,7,4997,227,9,4.7,9999,9999,9999,271,1.6,45.2,48.7,2416
4.9,3,7,2671,280,9,5.8,0.694,9999,9999,250,993,20.2,41.3,2812
5,2,7,5935,309,9,5.8,9999,9999,9999,298,0.788,58.8,63.1,1865
5,2,7,5935,309,9,5.8,9999,9999,9999,266,0.911,54.1,48.6,2417
5,2,7,5935,309,9,6.1,9999,9999,9999,298,0.788,58.8,63.1,1865
5,2,7,5935,309,9,6.1,9999,9999,9999,266,0.911,54.1,48.6,2417
5,2,7,2174,197,9,6.8,9999,9999,9999,257,1.58,35.6,37.4,3.189
5.1,2,7,3217,271,9,5.9,669,9999,9999,280,1.93,38.8,41,2.868
5.2,2,7,3387,221,9,6,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.2,3,7,3387,221,9,6.2,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.2,2,7,5474,325,9,5.2,9999,9999,9999,302,1.77,51.6,44.8,2.7
5.2,2,7,3947,168,9,6.3,9999,9999,9999,235,1.72,37.9,39.8,2.876
5.2,2,7,5665,253,9,5.8,9999,9999,9999,274,9999,9999,9999,1.7
