"target","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15"
33,1,599,3,3,992,10,70,14.69,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
38,1,796,3,3,1.51,9,69,10.89,6,12,1,25,27,33,2
38,1,796,3,3,1.51,9,69,10.89,6,12,1,25,27,33,2
30,2,799,3,3,1.26,19,100,15.73,6,9,1,20,27,33,2
30,2,799,3,3,1.26,19,100,15.73,6,9,1,20,27,33,2
29,1,899,4,3,1.42,9,65,9.09,7,11,1,23,27,33,2
33,1,954,4,3,0.886,9,74,9.75,6,12,1,25,27,33,2
40,1,973,3,3,1.84,10,82,10.59,6,9,2,20,27,33,4
40,1,973,3,3,1.84,10,82,10.59,6,9,2,20,27,33,4
43,1,973,4,3,1.84,10,85,10.98,6,9,2,20,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
39,1,993,3,3,1.41,10,76,9.62,6,12,1,21,27,33,2
39,1,993,3,3,1.41,10,76,9.62,6,12,1,21,27,33,2
40,1,993,4,3,847,9,77,9.74,6,12,1,25,27,33,2
40,1,993,4,3,847,9,77,9.74,6,12,1,25,27,33,2
56,1,995,3,3,1.132,11,113,14.27,6,12,1,19,32,33,4
37,1,997,4,3,0.85,10,84,10.59,7,15,1,25,27,33,2
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
50,1,998,4,3,0.967,10,90,11.33,6,11,2,21,29,33,4
50,1,998,4,3,0.967,10,90,11.33,6,11,2,21,29,33,4
50,1,998,4,3,0.967,10,90,11.33,6,11,2,21,29,33,4
37,1,999,4,3,1.52,11,86,10.82,6,12,1,20,27,33,2
37,1,999,4,3,1.52,11,86,10.82,6,12,1,20,27,33,2
37,1,999,4,3,1.52,11,86,10.82,6,12,1,20,27,33,2
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,1108,4,3,1.29,10,86,9.75,6,12,1,21,27,33,2
40,1,1108,4,3,1.29,10,86,9.75,6,12,1,21,27,33,2
44,1,1124,4,3,958,9,88,9.84,6,12,1,25,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
45,2,1191,3,3,1129,20,140,14.77,6,12,1,21,0,0,2
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
55,1,1199,4,3,1.1,10,110,11.53,6,9,2,20,27,33,4
54,1,1241,4,3,1113,10,104,10.53,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,102,10.32,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,102,10.32,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,98,9.92,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,98,9.92,6,12,1,21,27,33,2
55,1,1242,4,3,1.64,10,110,11.13,6,14,2,21,27,33,4
55,1,1242,4,3,1.64,10,110,11.13,6,14,2,21,27,33,4
55,1,1242,4,3,1.64,10,110,11.13,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
60,1,1242,4,3,1114,10,113,11.43,6,14,2,21,27,33,4
60,1,1242,4,3,1114,10,113,11.43,6,14,2,21,27,33,4
63,1,1242,4,3,1114,10,113,11.43,6,14,2,21,27,33,4
55,1,1275,4,3,1.134,10,103,10.15,6,15,2,21,27,33,4
55,1,1275,4,3,1.134,10,103,10.15,6,15,2,21,27,33,4
40,1,1289,4,3,0.954,10,99,9.65,7,15,1,25,27,33,2
50,1,1289,4,3,0.954,10,106,10.33,7,15,1,25,27,33,2
44,1,1296,4,3,0.94,10,84,8.14,6,12,1,25,27,33,4
44,1,1296,4,3,0.94,10,84,8.14,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
62,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
62,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
37,1,1297,4,3,1.21,10,93,9.01,7,9,1,23,27,33,2
37,1,1297,4,3,1.21,10,93,9.01,7,9,1,23,27,33,2
44,1,1297,4,3,1.21,10,103,9.98,7,9,1,23,27,33,2
44,1,1297,4,3,1.21,10,105,10.17,7,9,1,23,27,33,2
44,1,1297,4,3,1.21,10,105,10.17,7,9,1,23,27,33,2
50,1,1299,4,3,1.2,10,99,9.58,6,12,1,25,27,33,2
50,1,1299,4,3,1.2,10,99,9.58,6,12,1,25,27,33,2
50,1,1299,4,3,1.2,10,99,9.58,6,12,1,25,27,33,2
51,1,1299,4,3,1.2,10,103,9.96,6,12,1,25,27,33,2
51,1,1299,4,3,1.2,10,103,9.96,6,12,1,25,27,33,2
55,1,1299,4,3,1155,10,108,10.45,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,108,10.45,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,107,10.35,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,107,10.35,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,107,10.35,6,12,1,19,27,33,3
56,1,1299,4,3,1.2,10,115,11.13,6,12,1,26,27,33,4
56,1,1299,4,3,1.2,10,115,11.13,6,12,1,26,27,33,4
59,1,1299,4,3,1.2,10,104,10.06,6,12,1,26,27,33,4
59,1,1299,4,3,1.2,10,104,10.06,6,12,1,26,27,33,4
59,1,1299,4,3,1.2,10,104,10.06,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,1155,10,117,11.32,6,12,1,19,27,33,4
46,1,1324,4,3,1178,9,103,9.78,6,12,1,19,27,33,4
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
54,1,1324,4,3,1178,9,108,10.25,6,12,1,19,27,33,4
54,1,1324,4,3,1178,9,108,10.25,6,12,1,19,27,33,4
54,1,1324,4,3,1178,9,108,10.25,6,12,1,19,27,33,4
