"","ConcreteCompressiveStrength","Cement","BlastFurnaceSlag","FlyAsh","Water","Superplasticizer","CoarseAggregate","FineAggregate","Age"
"1",79.99,540,0,0,162,2.5,1040,676,28
"2",61.89,540,0,0,162,2.5,1055,676,28
"3",40.27,332.5,142.5,0,228,0,932,594,270
"4",41.05,332.5,142.5,0,228,0,932,594,365
"5",44.3,198.6,132.4,0,192,0,978.4,825.5,360
"6",47.03,266,114,0,228,0,932,670,90
"7",43.7,380,95,0,228,0,932,594,365
"8",36.45,380,95,0,228,0,932,594,28
"9",45.85,266,114,0,228,0,932,670,28
"10",39.29,475,0,0,228,0,932,594,28
"11",38.07,198.6,132.4,0,192,0,978.4,825.5,90
"12",28.02,198.6,132.4,0,192,0,978.4,825.5,28
"13",43.01,427.5,47.5,0,228,0,932,594,270
"14",42.33,190,190,0,228,0,932,670,90
"15",47.81,304,76,0,228,0,932,670,28
"16",52.91,380,0,0,228,0,932,670,90
"17",39.36,139.6,209.4,0,192,0,1047,806.9,90
"18",56.14,342,38,0,228,0,932,670,365
"19",40.56,380,95,0,228,0,932,594,90
"20",42.62,475,0,0,228,0,932,594,180
"21",41.84,427.5,47.5,0,228,0,932,594,180
"22",28.24,139.6,209.4,0,192,0,1047,806.9,28
"23",8.06,139.6,209.4,0,192,0,1047,806.9,3
"24",44.21,139.6,209.4,0,192,0,1047,806.9,180
"25",52.52,380,0,0,228,0,932,670,365
"26",53.3,380,0,0,228,0,932,670,270
"27",41.15,380,95,0,228,0,932,594,270
"28",52.12,342,38,0,228,0,932,670,180
"29",37.43,427.5,47.5,0,228,0,932,594,28
"30",38.6,475,0,0,228,0,932,594,7
"31",55.26,304,76,0,228,0,932,670,365
"32",52.91,266,114,0,228,0,932,670,365
"33",41.72,198.6,132.4,0,192,0,978.4,825.5,180
"34",42.13,475,0,0,228,0,932,594,270
"35",53.69,190,190,0,228,0,932,670,365
"36",38.41,237.5,237.5,0,228,0,932,594,270
"37",30.08,237.5,237.5,0,228,0,932,594,28
"38",37.72,332.5,142.5,0,228,0,932,594,90
"39",42.23,475,0,0,228,0,932,594,90
"40",36.25,237.5,237.5,0,228,0,932,594,180
"41",50.46,342,38,0,228,0,932,670,90
"42",43.7,427.5,47.5,0,228,0,932,594,365
"43",39,237.5,237.5,0,228,0,932,594,365
"44",53.1,380,0,0,228,0,932,670,180
"45",41.54,427.5,47.5,0,228,0,932,594,90
"46",35.08,427.5,47.5,0,228,0,932,594,7
"47",15.05,349,0,0,192,0,1047,806.9,3
"48",40.76,380,95,0,228,0,932,594,180
"49",26.26,237.5,237.5,0,228,0,932,594,7
"50",32.82,380,95,0,228,0,932,594,7
"51",39.78,332.5,142.5,0,228,0,932,594,180
"52",46.93,190,190,0,228,0,932,670,180
"53",33.12,237.5,237.5,0,228,0,932,594,90
"54",49.19,304,76,0,228,0,932,670,90
"55",14.59,139.6,209.4,0,192,0,1047,806.9,7
"56",14.64,198.6,132.4,0,192,0,978.4,825.5,7
"57",41.93,475,0,0,228,0,932,594,365
"58",9.13,198.6,132.4,0,192,0,978.4,825.5,3
"59",50.95,304,76,0,228,0,932,670,180
"60",33.02,332.5,142.5,0,228,0,932,594,28
"61",54.38,304,76,0,228,0,932,670,270
"62",51.73,266,114,0,228,0,932,670,270
"63",9.87,310,0,0,192,0,971,850.6,3
"64",50.66,190,190,0,228,0,932,670,270
"65",48.7,266,114,0,228,0,932,670,180
"66",55.06,342,38,0,228,0,932,670,270
"67",44.7,139.6,209.4,0,192,0,1047,806.9,360
"68",30.28,332.5,142.5,0,228,0,932,594,7
"69",40.86,190,190,0,228,0,932,670,28
"70",71.99,485,0,0,146,0,1120,800,28
"71",34.4,374,189.2,0,170.1,10.1,926.1,756.7,3
"72",28.8,313.3,262.2,0,175.5,8.6,1046.9,611.8,3
"73",33.4,425,106.3,0,153.5,16.5,852.1,887.1,3
"74",36.3,425,106.3,0,151.4,18.6,936,803.7,3
"75",29,375,93.8,0,126.6,23.4,852.1,992.6,3
"76",37.8,475,118.8,0,181.1,8.9,852.1,781.5,3
"77",40.2,469,117.2,0,137.8,32.2,852.1,840.5,3
"78",33.4,425,106.3,0,153.5,16.5,852.1,887.1,3
"79",28.1,388.6,97.1,0,157.9,12.1,852.1,925.7,3
"80",41.3,531.3,0,0,141.8,28.2,852.1,893.7,3
"81",33.4,425,106.3,0,153.5,16.5,852.1,887.1,3
"82",25.2,318.8,212.5,0,155.7,14.3,852.1,880.4,3
"83",41.1,401.8,94.7,0,147.4,11.4,946.8,852.1,3
"84",35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
"85",28.3,323.7,282.8,0,183.8,10.3,942.7,659.9,3
"86",28.6,379.5,151.2,0,153.9,15.9,1134.3,605,3
"87",35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
"88",24.4,286.3,200.9,0,144.7,11.2,1004.6,803.7,3
"89",35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
"90",39.3,439,177,0,186,11.1,884.9,707.9,3
"91",40.6,389.9,189,0,145.9,22,944.7,755.8,3
"92",35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
"93",24.1,337.9,189,0,174.9,9.5,944.7,755.8,3
"94",46.2,374,189.2,0,170.1,10.1,926.1,756.7,7
"95",42.8,313.3,262.2,0,175.5,8.6,1046.9,611.8,7
"96",49.2,425,106.3,0,153.5,16.5,852.1,887.1,7
"97",46.8,425,106.3,0,151.4,18.6,936,803.7,7
"98",45.7,375,93.8,0,126.6,23.4,852.1,992.6,7
"99",55.6,475,118.8,0,181.1,8.9,852.1,781.5,7
"100",54.9,469,117.2,0,137.8,32.2,852.1,840.5,7
"101",49.2,425,106.3,0,153.5,16.5,852.1,887.1,7
"102",34.9,388.6,97.1,0,157.9,12.1,852.1,925.7,7
"103",46.9,531.3,0,0,141.8,28.2,852.1,893.7,7
"104",49.2,425,106.3,0,153.5,16.5,852.1,887.1,7
"105",33.4,318.8,212.5,0,155.7,14.3,852.1,880.4,7
"106",54.1,401.8,94.7,0,147.4,11.4,946.8,852.1,7
"107",55.9,362.6,189,0,164.9,11.6,944.7,755.8,7
"108",49.8,323.7,282.8,0,183.8,10.3,942.7,659.9,7
"109",47.1,379.5,151.2,0,153.9,15.9,1134.3,605,7
"110",55.9,362.6,189,0,164.9,11.6,944.7,755.8,7
"111",38,286.3,200.9,0,144.7,11.2,1004.6,803.7,7
"112",55.9,362.6,189,0,164.9,11.6,944.7,755.8,7
"113",56.1,439,177,0,186,11.1,884.9,707.9,7
"114",59.09,389.9,189,0,145.9,22,944.7,755.8,7
"115",22.9,362.6,189,0,164.9,11.6,944.7,755.8,7
"116",35.1,337.9,189,0,174.9,9.5,944.7,755.8,7
"117",61.09,374,189.2,0,170.1,10.1,926.1,756.7,28
"118",59.8,313.3,262.2,0,175.5,8.6,1046.9,611.8,28
"119",60.29,425,106.3,0,153.5,16.5,852.1,887.1,28
"120",61.8,425,106.3,0,151.4,18.6,936,803.7,28
"121",56.7,375,93.8,0,126.6,23.4,852.1,992.6,28
"122",68.3,475,118.8,0,181.1,8.9,852.1,781.5,28
"123",66.9,469,117.2,0,137.8,32.2,852.1,840.5,28
"124",60.29,425,106.3,0,153.5,16.5,852.1,887.1,28
"125",50.7,388.6,97.1,0,157.9,12.1,852.1,925.7,28
"126",56.4,531.3,0,0,141.8,28.2,852.1,893.7,28
"127",60.29,425,106.3,0,153.5,16.5,852.1,887.1,28
"128",55.5,318.8,212.5,0,155.7,14.3,852.1,880.4,28
"129",68.5,401.8,94.7,0,147.4,11.4,946.8,852.1,28
"130",71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
"131",74.7,323.7,282.8,0,183.8,10.3,942.7,659.9,28
"132",52.2,379.5,151.2,0,153.9,15.9,1134.3,605,28
"133",71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
"134",67.7,286.3,200.9,0,144.7,11.2,1004.6,803.7,28
"135",71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
"136",66,439,177,0,186,11.1,884.9,707.9,28
"137",74.5,389.9,189,0,145.9,22,944.7,755.8,28
"138",71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
"139",49.9,337.9,189,0,174.9,9.5,944.7,755.8,28
"140",63.4,374,189.2,0,170.1,10.1,926.1,756.7,56
"141",64.9,313.3,262.2,0,175.5,8.6,1046.9,611.8,56
"142",64.3,425,106.3,0,153.5,16.5,852.1,887.1,56
"143",64.9,425,106.3,0,151.4,18.6,936,803.7,56
"144",60.2,375,93.8,0,126.6,23.4,852.1,992.6,56
"145",72.3,475,118.8,0,181.1,8.9,852.1,781.5,56
"146",69.3,469,117.2,0,137.8,32.2,852.1,840.5,56
"147",64.3,425,106.3,0,153.5,16.5,852.1,887.1,56
"148",55.2,388.6,97.1,0,157.9,12.1,852.1,925.7,56
