fuel.consumption.country,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Attribute35,Attribute36,Attribute37
2.7,1,8,9,3,12,1191,45,20,4000,875,5000,9999,14.77,9999.0,10.5,14.5,830,360,18.4,15,21,1,29,34,39,45,3529,1621,1455,2319,165,140,563,47.7,2.1,51,57
3.2,2,8,9,3,12,799,30,19,4200,825,4500,4500,15.73,7.8,13.2,19.8,730,260,24.3,15,18,1,29,34,38,43,2500,1516,1551,1812,135,100,728,43.7,2.4,51,57
3.2,2,8,9,3,12,799,30,19,4200,825,4500,4500,15.73,7.8,13.2,19.8,730,260,24.3,15,18,1,29,34,38,43,2500,1516,1551,1812,135,100,728,43.7,2.4,51,57
3.5,1,8,9,3,12,1422,55,20,4000,680,9999,9999,17.23,9999.0,9999.0,12.3,990,510,18.0,15,21,1,29,34,38,45,3826,1673,1553,2405,173,195,605,9999.0,2576,51,57
3.5,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1169,526,21.3,15,21,2,29,34,38,46,4110,1709,1425,2606,175,165,0.5770000000000001,49.0,2379,51,57
3.5,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1189,526,21.6,15,21,2,29,34,38,46,4110,1709,1425,2606,175,165,0.5770000000000001,49.0,2379,51,57
3.6,1,8,9,3,12,1422,55,20,4000,950,4800,9999,17.23,9999.0,9999.0,12.2,960,450,17.5,15,21,1,29,34,38,45,3536,1639,1460,2323,170,195,659,45.3,2.2640000000000002,51,57
3.6,1,8,9,4,12,1716,44,20,4200,9999,9999,9999,8.42,9999.0,10.8,16.8,963,437,21.9,15,21,1,28,34,39,44,3536,1639,1460,2323,157,115,659,41.4,2.4659999999999997,51,57
3.9,1,8,9,4,12,1689,44,19,3600,760,4850,4650,11.9,6.8,11.8,18.0,1070,460,24.3,15,19,2,29,34,38,43,3575,1719,1584,2423,152,160,0.69,51.7,2123,50,55
4.0,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.2,10.5,1190,560,14.7,15,21,1,29,34,38,44,4152,1735,1427,2513,194,235,639,44.5,2.66,51,57
4.0,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1169,526,21.3,15,21,2,29,34,38,46,4110,1709,1425,2606,170,165,609,41.8,2698,51,57
4.0,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1189,526,21.6,15,21,2,29,34,38,46,4252,1709,1425,2606,170,165,589,41.8,2698,51,57
4.0,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1189,526,21.6,15,21,2,29,34,38,46,4110,1709,1425,2606,170,165,609,41.8,2698,51,57
4.0,1,8,9,4,12,1896,50,20,4200,9999,9999,9999,8.82,9999.0,9999.0,16.0,1070,460,21.4,15,21,1,28,34,39,47,3876,1640,1422,2443,161,133,9999.0,38.6,2.7319999999999998,51,57
4.0,1,8,9,4,12,1896,81,20,4000,9999,9999,9999,15.58,9999.0,9999.0,10.5,1125,460,13.9,15,21,1,29,34,38,44,3876,1640,1422,2443,193,235,9999.0,45.6,2.4,51,57
4.0,1,8,9,4,12,1896,47,20,4000,9999,9999,9999,8.28,9999.0,9999.0,18.7,1123,485,23.9,15,21,1,28,34,39,44,3960,1646,1451,2462,152,125,643,43.1,2492,0,57
4.0,1,8,9,4,12,1896,74,19,4000,9999,9999,9999,15.91,9999.0,9999.0,11.5,1154,495,15.6,15,21,1,29,34,38,45,3960,1646,1451,2462,183,240,643,47.9,2.2119999999999997,51,57
4.0,1,8,9,4,12,1910,59,18,3000,9999,9999,9999,12.9,9999.0,9999.0,12.2,1040,510,17.6,15,21,1,29,34,38,43,3800,1660,1480,2460,170,196,9999.0,48.5,2186,51,57
4.0,1,8,9,4,12,1910,59,18,3000,9999,9999,9999,12.9,9999.0,9999.0,12.2,1055,510,17.9,15,21,1,29,34,38,43,3835,1660,1480,2460,170,196,9999.0,48.5,2186,51,57
4.0,1,8,9,4,12,1753,55,19,4000,9999,9999,9999,12.54,9999.0,9999.0,12.5,1242,513,22.6,15,22,1,29,34,38,48,4438,1702,1465,2615,184,175,675,45.4,2399,51,57
4.0,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.9,11.3,1336,524,16.5,15,21,1,29,34,38,44,4409,1735,1485,2515,193,235,0.6779999999999999,45.1,2576,51,57
4.1,1,8,9,4,12,1896,66,20,3750,900,5000,9999,13.92,9999.0,8.4,12.4,1185,560,18.0,15,21,1,29,34,38,47,4152,1735,1427,2513,181,210,639,45.3,2562,51,57
4.1,1,8,9,4,12,1487,49,22,4600,890,9999,9999,11.16,9999.0,9999.0,14.0,950,495,19.4,15,21,1,29,35,40,44,3741,1608,1424,2443,165,132,0.66,36.2,2842,0,57
4.1,1,8,9,4,12,1896,81,20,4150,860,9999,9999,15.58,9999.0,9999.0,11.2,1239,541,15.3,15,21,1,29,34,38,44,4183,1742,1439,2511,193,235,9999.0,45.1,2576,51,57
4.1,1,8,9,4,12,1896,66,20,4000,9999,9999,9999,13.92,9999.0,9999.0,12.1,1124,460,17.0,15,21,1,29,34,38,47,3876,1640,1422,2443,180,210,9999.0,46.8,2.2640000000000002,51,57
4.1,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.6,10.6,1284,536,15.9,15,21,1,29,34,38,44,4376,1735,1446,2513,193,235,633,45.1,2576,51,57
4.1,1,8,9,4,12,1994,74,20,4200,9999,9999,9999,15.13,9999.0,9999.0,9.9,1130,470,15.3,15,21,1,29,34,38,44,3990,1688,1419,2500,185,240,9999.0,41.7,2556,51,0
4.1,1,8,9,4,12,1753,66,19,4000,9999,9999,9999,14.34,9999.0,9999.0,12.5,1242,513,18.8,15,22,1,29,34,38,48,4438,1702,1465,2615,184,200,675,47.4,2298,51,57
4.1,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.9,11.3,1327,523,16.4,15,21,1,29,34,38,44,4397,1735,1485,2515,193,235,0.6779999999999999,45.1,2576,51,57
4.1,1,8,9,4,12,1896,81,20,4000,900,5000,9999,15.58,9999.0,7.4,10.9,1188,460,14.7,15,21,1,29,34,38,44,4137,1640,1459,2444,190,235,706,45.1,2.4,51,57
