heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
0.18,3,5,21,1997,84.0,87.0,4,105,130,0.0,100
0.71,3,5,21,1997,84.0,87.0,4,105,130,0.5,100
1.28,3,5,21,1997,84.0,87.0,4,105,130,1.0,100
1.89,3,5,21,1997,84.0,87.0,4,105,130,1.5,100
2.55,3,5,21,1997,84.0,87.0,4,105,130,2.0,100
3.25,3,5,21,1997,84.0,87.0,4,105,130,2.5,100
3.99,3,5,21,1997,84.0,87.0,4,105,130,3.0,100
4.77,3,5,21,1997,84.0,87.0,4,105,130,3.5,100
5.61,3,5,21,1997,84.0,87.0,4,105,130,4.0,100
6.48,3,5,21,1997,84.0,87.0,4,105,130,4.5,100
7.39,3,5,21,1997,84.0,87.0,4,105,130,5.0,100
8.35,3,5,21,1997,84.0,87.0,4,105,130,5.5,100
9.33,3,5,21,1997,84.0,87.0,4,105,130,6.0,100
10.38,3,5,21,1997,84.0,87.0,4,105,130,6.5,100
11.46,3,5,21,1997,84.0,87.0,4,105,130,7.0,100
12.59,3,5,21,1997,84.0,87.0,4,105,130,7.5,100
13.75,3,5,21,1997,84.0,87.0,4,105,130,8.0,100
14.96,3,5,21,1997,84.0,87.0,4,105,130,8.5,100
16.22,3,5,21,1997,84.0,87.0,4,105,130,9.0,100
17.5,3,5,21,1997,84.0,87.0,4,105,130,9.5,100
18.85,3,5,21,1997,84.0,87.0,4,105,130,10.0,100
20.22,3,5,21,1997,84.0,87.0,4,105,130,10.5,100
21.65,3,5,21,1997,84.0,87.0,4,105,130,11.0,100
23.11,3,5,21,1997,84.0,87.0,4,105,130,11.5,100
24.63,3,5,21,1997,84.0,87.0,4,105,130,12.0,100
1.75,3,5,21,1997,84.0,87.0,4,105,130,0.0,1000
2.26,3,5,21,1997,84.0,87.0,4,105,130,0.5,1000
2.83,3,5,21,1997,84.0,87.0,4,105,130,1.0,1000
3.47,3,5,21,1997,84.0,87.0,4,105,130,1.5,1000
4.16,3,5,21,1997,84.0,87.0,4,105,130,2.0,1000
4.93,3,5,21,1997,84.0,87.0,4,105,130,2.5,1000
5.75,3,5,21,1997,84.0,87.0,4,105,130,3.0,1000
6.64,3,5,21,1997,84.0,87.0,4,105,130,3.5,1000
7.6,3,5,21,1997,84.0,87.0,4,105,130,4.0,1000
8.62,3,5,21,1997,84.0,87.0,4,105,130,4.5,1000
9.71,3,5,21,1997,84.0,87.0,4,105,130,5.0,1000
10.85,3,5,21,1997,84.0,87.0,4,105,130,5.5,1000
12.07,3,5,21,1997,84.0,87.0,4,105,130,6.0,1000
13.35,3,5,21,1997,84.0,87.0,4,105,130,6.5,1000
14.7,3,5,21,1997,84.0,87.0,4,105,130,7.0,1000
16.1,3,5,21,1997,84.0,87.0,4,105,130,7.5,1000
17.58,3,5,21,1997,84.0,87.0,4,105,130,8.0,1000
19.11,3,5,21,1997,84.0,87.0,4,105,130,8.5,1000
20.71,3,5,21,1997,84.0,87.0,4,105,130,9.0,1000
22.38,3,5,21,1997,84.0,87.0,4,105,130,9.5,1000
24.11,3,5,21,1997,84.0,87.0,4,105,130,10.0,1000
25.91,3,5,21,1997,84.0,87.0,4,105,130,10.5,1000
27.77,3,5,21,1997,84.0,87.0,4,105,130,11.0,1000
29.69,3,5,21,1997,84.0,87.0,4,105,130,11.5,1000
31.68,3,5,21,1997,84.0,87.0,4,105,130,12.0,1000
3.24,3,5,21,1997,84.0,87.0,4,105,130,0.0,1500
3.79,3,5,21,1997,84.0,87.0,4,105,130,0.5,1500
4.41,3,5,21,1997,84.0,87.0,4,105,130,1.0,1500
5.1,3,5,21,1997,84.0,87.0,4,105,130,1.5,1500
5.87,3,5,21,1997,84.0,87.0,4,105,130,2.0,1500
6.71,3,5,21,1997,84.0,87.0,4,105,130,2.5,1500
7.63,3,5,21,1997,84.0,87.0,4,105,130,3.0,1500
8.62,3,5,21,1997,84.0,87.0,4,105,130,3.5,1500
9.69,3,5,21,1997,84.0,87.0,4,105,130,4.0,1500
10.83,3,5,21,1997,84.0,87.0,4,105,130,4.5,1500
12.04,3,5,21,1997,84.0,87.0,4,105,130,5.0,1500
13.33,3,5,21,1997,84.0,87.0,4,105,130,5.5,1500
14.7,3,5,21,1997,84.0,87.0,4,105,130,6.0,1500
16.13,3,5,21,1997,84.0,87.0,4,105,130,6.5,1500
17.64,3,5,21,1997,84.0,87.0,4,105,130,7.0,1500
19.22,3,5,21,1997,84.0,87.0,4,105,130,7.5,1500
20.88,3,5,21,1997,84.0,87.0,4,105,130,8.0,1500
22.63,3,5,21,1997,84.0,87.0,4,105,130,8.5,1500
24.43,3,5,21,1997,84.0,87.0,4,105,130,9.0,1500
26.31,3,5,21,1997,84.0,87.0,4,105,130,9.5,1500
28.27,3,5,21,1997,84.0,87.0,4,105,130,10.0,1500
30.31,3,5,21,1997,84.0,87.0,4,105,130,10.5,1500
32.41,3,5,21,1997,84.0,87.0,4,105,130,11.0,1500
34.59,3,5,21,1997,84.0,87.0,4,105,130,11.5,1500
36.85,3,5,21,1997,84.0,87.0,4,105,130,12.0,1500
5.17,3,5,21,1997,84.0,87.0,4,105,130,0.0,2000
5.79,3,5,21,1997,84.0,87.0,4,105,130,0.5,2000
6.5,3,5,21,1997,84.0,87.0,4,105,130,1.0,2000
7.29,3,5,21,1997,84.0,87.0,4,105,130,1.5,2000
8.16,3,5,21,1997,84.0,87.0,4,105,130,2.0,2000
9.11,3,5,21,1997,84.0,87.0,4,105,130,2.5,2000
10.14,3,5,21,1997,84.0,87.0,4,105,130,3.0,2000
11.26,3,5,21,1997,84.0,87.0,4,105,130,3.5,2000
12.46,3,5,21,1997,84.0,87.0,4,105,130,4.0,2000
13.75,3,5,21,1997,84.0,87.0,4,105,130,4.5,2000
15.11,3,5,21,1997,84.0,87.0,4,105,130,5.0,2000
16.56,3,5,21,1997,84.0,87.0,4,105,130,5.5,2000
18.1,3,5,21,1997,84.0,87.0,4,105,130,6.0,2000
19.71,3,5,21,1997,84.0,87.0,4,105,130,6.5,2000
21.41,3,5,21,1997,84.0,87.0,4,105,130,7.0,2000
23.19,3,5,21,1997,84.0,87.0,4,105,130,7.5,2000
25.04,3,5,21,1997,84.0,87.0,4,105,130,8.0,2000
26.99,3,5,21,1997,84.0,87.0,4,105,130,8.5,2000
29.02,3,5,21,1997,84.0,87.0,4,105,130,9.0,2000
31.12,3,5,21,1997,84.0,87.0,4,105,130,9.5,2000
33.32,3,5,21,1997,84.0,87.0,4,105,130,10.0,2000
35.59,3,5,21,1997,84.0,87.0,4,105,130,10.5,2000
37.94,3,5,21,1997,84.0,87.0,4,105,130,11.0,2000
40.38,3,5,21,1997,84.0,87.0,4,105,130,11.5,2000
42.9,3,5,21,1997,84.0,87.0,4,105,130,12.0,2000
7.53,3,5,21,1997,84.0,87.0,4,105,130,0.0,2500
