target,onehotencoder__x0_autumn,onehotencoder__x0_spring,onehotencoder__x0_summer,onehotencoder__x0_winter,onehotencoder__x1_large_,onehotencoder__x1_medium,onehotencoder__x1_small_,onehotencoder__x2_high__,onehotencoder__x2_low___,onehotencoder__x2_medium,concentration_1,concentration_2,concentration_3,concentration_4,concentration_5,concentration_6,concentration_7,concentration_8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,9.8,60.8,6.238,578.0,105.0,170.0,50.0
1.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.35,8.0,57.75,1.288,370.0,428.75,558.75,1.3
3.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.1,11.4,40.02,5.33,346.66699,125.667,187.05701,15.6
3.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.07,4.8,77.364,2.302,98.182,61.182,138.7,1.4
9.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.06,9.0,55.35,10.416,233.7,58.222,97.58,10.5
15.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.25,13.1,65.75,9.248,430.0,18.25,56.667,28.4
2.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.15,10.3,73.25,1.535,110.0,61.25,111.75,3.2
18.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.05,10.6,59.067,4.99,205.66701,44.667,77.434,6.9
25.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.7,3.4,21.95,0.886,102.75,36.3,71.0,5.544
17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8
16.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.7,10.2,8.0,1.527,21.571,12.75,20.75,0.8
32.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.45,11.7,8.69,1.588,18.429,10.667,19.0,0.6
43.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.74,9.6,5.0,1.223,27.286,12.0,17.0,41.0
31.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.72,11.8,6.3,1.47,8.0,16.0,15.0,0.5
52.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.9,9.6,3.0,1.448,46.2,13.0,61.6,0.3
69.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
46.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.78,12.0,7.0,1.42,34.333,18.667,50.0,1.1
31.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.61,9.8,7.0,1.443,31.333,20.0,57.833,0.4
50.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.35,10.4,7.0,1.718,49.0,41.5,61.5,0.8
15.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.2,9.2,0.8,0.642,81.0,15.6,18.0,0.5
23.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.75,10.3,32.92,2.942,42.0,16.0,40.0,7.6
74.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.62,8.5,11.867,1.715,208.33299,3.0,27.5,1.7
13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.84,9.4,10.975,1.51,12.5,3.0,11.5,1.5
4.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.77,10.7,12.536,3.976,58.5,9.0,44.136,3.0
29.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.09,8.4,10.5,1.572,28.0,4.0,13.6,0.5
30.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.8,11.1,9.0,0.63,20.0,4.0,118.09418129449836,2.7
17.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8
33.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5
3.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9
6.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.8,11.3,20.083,3.02,49.5,53.0,130.75,5.8
66.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.3,10.9,1.17,0.735,13.5,1.625,3.0,0.2
75.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,9.333343949044586,1.45,0.81,10.0,2.5,3.0,0.3
2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.3,8.9,20.625,3.414,228.75,196.62,253.25,12.32
2.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8.957
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,5.5,77.0,6.096,122.85,143.71001,296.0,3.7
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.3,7.7,50.0,8.543,76.0,264.89999,344.60001,22.5
4.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.3,8.8,54.143,7.83,51.429,276.85001,326.85699,11.84
51.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.4,13.4,69.75,4.555,37.5,10.0,40.667,3.9
29.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3
54.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,12.1,66.3,4.535,39.0,16.0,39.0,0.8
35.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.005621019108279,12.6,9.0,0.23,10.0,5.0,6.0,1.1
89.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.6,9.6,15.0,3.02,40.0,27.0,121.0,2.8
24.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.29,11.21,17.75,3.07,35.0,13.0,20.812,12.1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9
39.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,7.9,27.233,1.651,28.333,7.3,22.9,4.5
81.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.9,11.0,6.167,1.172,18.333,7.75,11.8,0.5
54.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.9,9.0,5.273,0.91,33.636,9.0,11.818,0.8
24.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.6,10.8,40.90326533333333,3.245,10.0,1.0,6.5,12.857054607508534
82.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.6,11.8,40.90326533333333,2.22,5.0,1.0,1.0,12.857054607508534
16.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.7,10.8,40.90326533333333,2.55,10.0,1.0,4.0,12.857054607508534
46.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.6,9.5,40.90326533333333,1.32,20.0,1.0,6.0,12.857054607508534
46.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.6,10.8,40.90326533333333,2.64,10.0,2.0,11.0,12.857054607508534
47.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.6,11.3,40.90326533333333,4.17,10.0,1.0,6.0,12.857054607508534
66.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.5,10.4,40.90326533333333,5.97,10.0,2.0,14.0,12.857054607508534
19.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.4,9.333343949044586,40.90326533333333,2.9645222929936303,160.4527104458599,59.19920066878981,14.0,12.857054607508534
14.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.83,11.7,4.083,1.328,18.0,3.333,6.667,12.857054607508534
20.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.57,10.8,4.575,1.203,27.5,2.0,6.75,1.0
15.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.19,11.7,4.326,1.474,160.0,2.5,7.2,0.3
55.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.44,10.1,2.933,0.77,15.0,1.333,6.0,0.6
10.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.14,9.8,3.275,0.923,15.0,1.25,10.75,2.5
64.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,12.1,3.136,1.208,16.2,1.8,2.5,0.5
11.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.5,8.1,38.125,3.85,225.0,45.0,152.33299,5.2
4.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.925,10.2,34.037,9.08,109.0,55.0,58.623,11.6
1.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.1,8.1,136.0,3.773,245.0,136.75,249.25,20.87
1.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.2,6.8,129.375,3.316,271.25,100.0,233.5,13.0
2.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37
64.9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.1,9.8,29.5,1.287,224.286,25.167,102.333,3.6
15.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,5.9,27.4,0.735,133.636,36.0,105.727,3.0
14.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,3.3,26.76,0.658,165.0,37.375,111.375,3.0
6.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.5,9.2,11.0,3.31,101.0,26.6,108.0,1.3
10.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.4,9.8,11.0,3.235,255.0,38.75,56.667,2.0
1.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.3,11.7,10.4,4.93,130.0,10.8,60.0,4.3
12.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.4,8.9,13.5,5.442,123.333,27.667,104.0,21.0
14.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.4,11.17,12.146,6.188,89.6,32.0,69.93,3.1
3.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.5,10.8,31.0,4.408,737.5,111.25,214.0,2.9
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.6,6.0,53.0,3.734,914.0,137.60001,254.60001,4.3
2.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.1,10.7,94.405,4.698,153.0,191.75,265.25,7.3
1.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.8,8.5,53.333,5.132,96.667,120.5,232.83299,31.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.8,10.5,70.0,2.443,98.333,144.66701,244.0,9.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.9,11.8,63.51,4.94,137.0,159.5,218.0,6.5
5.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.5,10.5,56.717,0.33,215.714,23.0,138.5,20.829
3.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9.1,5.4,61.05,0.308,105.556,104.222,239.0,72.478
1.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.9,4.5,57.75,0.267,155.0,97.333,235.66701,98.817
4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.9,6.3,101.875,3.978,153.75,51.75,205.875,2.0
5.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9
16.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.7,7.1,63.625,3.14,122.5,28.625,186.5,30.0
7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.8,6.5,82.111,2.603,215.556,12.889,154.125,5.2
58.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.7,5.3,65.333,2.899,371.11099,51.111,183.66701,17.2
8.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.5,8.8,58.331,8.688,758.75,104.5,292.625,3.0
17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.6,10.0,49.625,5.456,308.75,38.625,285.71399,75.0
12.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.7,7.4,47.778,2.316,38.111,24.667,201.778,3.0
8.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.7,11.1,47.229,8.759,239.0,54.0,275.14301,65.7
23.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.3,11.1,41.5,4.665,931.83301,39.0,124.2,13.1
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.43,6.0,40.167,2.67,723.66699,60.833,141.83299,25.0
3.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.16,11.1,32.056,5.694,461.875,71.0,132.54601,15.0
64.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.7,9.8,5.889,1.534,51.111,9.667,17.333,1.0
46.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.2,11.3,7.25,1.875,25.0,6.5,26.0,0.3
