target,onehotencoder__x0_Aust_Credit,onehotencoder__x0_BT,onehotencoder__x0_Belgian,onehotencoder__x0_CUT,onehotencoder__x0_Chromosone,onehotencoder__x0_Credit,onehotencoder__x0_DNA,onehotencoder__x0_Diabetes,onehotencoder__x0_Digits,onehotencoder__x0_Faults,onehotencoder__x0_German_Credit,onehotencoder__x0_Head,onehotencoder__x0_Heart,onehotencoder__x0_KlDigits,onehotencoder__x0_Letters,onehotencoder__x0_NewBelgian,onehotencoder__x0_SatImage,onehotencoder__x0_Segment,onehotencoder__x0_Shuttle,onehotencoder__x0_Technical,onehotencoder__x0_TseTse,onehotencoder__x0_Vehicle,onehotencoder__x1_Ac2,onehotencoder__x1_Alloc80,onehotencoder__x1_BackProp,onehotencoder__x1_Bayes,onehotencoder__x1_BayesTree,onehotencoder__x1_C4_5,onehotencoder__x1_CART,onehotencoder__x1_Cal5,onehotencoder__x1_Cascade,onehotencoder__x1_Castle,onehotencoder__x1_Cn2,onehotencoder__x1_Default,onehotencoder__x1_Dipol92,onehotencoder__x1_Discrim,onehotencoder__x1_ITrule,onehotencoder__x1_IndCART,onehotencoder__x1_KNN,onehotencoder__x1_Kohonen,onehotencoder__x1_LVQ,onehotencoder__x1_LogDisc,onehotencoder__x1_NewId,onehotencoder__x1_QuaDisc,onehotencoder__x1_RBF,onehotencoder__x1_Smart,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio
3.893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
5.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
1.791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
1.557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
3.114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
1.868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
67.655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
1.324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
5.683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
24.057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
0.779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
0.779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
0.467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
1.635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
3.893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
67.655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
5.138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
0.779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
3.893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
5.917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
2.102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,0.7410583333333334,1.0,0.7000416666666666,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646
9.035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,0.7410583333333334,1.0,0.7000416666666666,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859
